arm,branch,embedding,embed_dim,method,imbalance,n_classes,gnn_human_kappa,gnn_human_lo,gnn_human_hi,gnn_human_n,gnn_llm_kappa_205,gnn_llm_lo,gnn_llm_hi,gnn_llm_kappa_76,recall_vigilance,recall_avoidance,recall_attnreg,recall_metacog,recall_reappraisal,recall_nocode,seed,timestamp,decision,notes
A0,worktree-agent-a7385c75ac3c7a67d,minilm,384,GraphSAGE,none,5,-0.0207,-0.0801,0.0645,66,0.0503,-0.0258,0.1237,0.1107,0.2000,0.0000,0.6849,0.0000,0.2414,,42,2026-06-06T22:26:01+00:00,,
A1,gnn-exp/harness,qwen,4096,LinearProbe,none,5,0.2051,0.0575,0.3280,37,0.2302,0.1444,0.3224,0.2916,0.0000,0.0000,0.8767,0.0000,0.6034,,42,2026-06-06T22:59:01+00:00,,
A1w,gnn-exp/harness,qwen,4096,LinearProbe,balanced,5,0.2962,0.1090,0.5336,37,0.3067,0.2084,0.3813,0.2612,0.5600,0.3500,0.5342,0.3103,0.4655,,42,2026-06-06T22:59:15+00:00,,
A1n,gnn-exp/harness,qwen,4096,LinearProbe,balanced,6,0.3652,0.2276,0.5133,66,0.2831,0.2034,0.3455,0.1897,0.3600,0.3500,0.5205,0.3103,0.4310,,42,2026-06-06T22:59:33+00:00,,
A2,gnn-exp/harness,qwen,4096,Correct&Smooth,balanced,5,0.1591,0.0399,0.2946,37,0.1645,0.0791,0.2800,0.0528,0.2000,0.0500,0.7123,0.1034,0.4310,,42,2026-06-06T22:59:48+00:00,,
A2n,gnn-exp/harness,qwen,4096,Correct&Smooth,balanced,6,0.1957,0.1171,0.3193,66,0.0690,0.0122,0.1356,0.0081,0.0000,0.0000,0.4247,0.0000,0.1897,,42,2026-06-06T23:00:08+00:00,,
A3,gnn-exp/harness,qwen,4096,GraphSAGE,none,5,0.1433,0.0504,0.2403,66,0.2123,0.1182,0.2907,0.2239,0.2800,0.2000,0.7808,0.0000,0.3621,,42,2026-06-06T23:00:33+00:00,,
A4,gnn-exp/harness,qwen,4096,GraphSAGE,balanced+focal,5,0.0990,0.0088,0.1965,66,0.1648,0.0865,0.2339,0.1017,0.3200,0.5000,0.5890,0.1034,0.1724,,42,2026-06-06T23:01:01+00:00,,
A4n,gnn-exp/harness,qwen,4096,GraphSAGE,balanced+focal,6,0.3579,0.2530,0.4483,66,0.1760,0.0921,0.2433,0.1798,0.3600,0.3500,0.3836,0.1724,0.2414,,42,2026-06-06T23:01:25+00:00,,
